description,price,rooms,area,location,floor
 SİNCAN MAREŞAL ÇAKMAK MAHALLESİ SATILIK 3+1 DAİRE ARES GAYRİMENK...,1.989.999 TL,weekend3+1,texture125 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layers2. Kat
 YAŞAMKENT AKYILDIZ PRESTİJDE 2+1 GÜVENLİKLİ SATILIK DAİRE,3.490.000 TL,weekend2+1,texture85 m2,Ankara - Çankaya - Alacaatlı Mh.,layers7. Kat
ZIRVEKENT TOKIDE MASRAFSIZ SİTE İÇERİSİNDE 2+1,1.095.000 TL,weekend2+1,texture90 m2,Ankara - Mamak - Zirvekent Mh.,layers1. Kat
 NASİP EMLAK'TAN 6+2 MUHTEŞEM YAPILI 12. KATTA LOFT VİLLA!,11.750.000 TL,weekend6+2,texture360 m2,Ankara - Pursaklar - Fatih Mh.,layers12. Kat
FikretDeniz’den Sincanda Bu fiyataTek ,780.000 TL,weekend1+1,texture70 m2,Ankara - Sincan - Ulubatlı Hasan Mh.,layers2. Kat
 MEHTAP'DA OKULLAR CADDESİ ÜZERİNDE FULL YAPILI ASANSÖRLÜ 2+1 SAT...,1.650.000 TL,weekend2+1,texture100 m2,Ankara - Mamak - Mehtap Mh.,layersDüz Giriş (Zemin)
 NASİP EMLAK'TAN 6+2 MUHTEŞEM YAPILI 12. KATTA LOFT VİLLA!,11.750.000 TL,weekend6+2,texture360 m2,Ankara - Pursaklar - Fatih Mh.,layers12. Kat
FikretDeniz’den Sincanda Bu fiyataTek ,780.000 TL,weekend1+1,texture70 m2,Ankara - Sincan - Ulubatlı Hasan Mh.,layers2. Kat
 MEHTAP'DA OKULLAR CADDESİ ÜZERİNDE FULL YAPILI ASANSÖRLÜ 2+1 SAT...,1.650.000 TL,weekend2+1,texture100 m2,Ankara - Mamak - Mehtap Mh.,layersDüz Giriş (Zemin)
 ÜNSAL'DAN | SÜPER PROJE MEVA ŞEHİR'DE | 1.99 ORAN | 4+1 DELUX,7.549.000 TL,weekend4+1,texture250 m2,Ankara - Etimesgut - Yeşilova Mh.,layers13. Kat
 AHİMESUT MAHALLESİ 4+1 SIFIR YAPIDA ARES GAYRİMENKUL'DEN LÜKS SA...,5.950.000 TL,weekend4+1,texture160 m2,Ankara - Etimesgut - 30 Ağustos Mh.,layers4. Kat
 İSTASYON MAHALLESİ 2+1 SIFIR SATLIK DAİRE ARES GAYRİMENKUL' DEN,2.549.999 TL,weekend2+1,texture100 m2,Ankara - Etimesgut - İstasyon Mh.,layersDüz Giriş (Zemin)
HAS'TAN MUSTAFA KEMAL MAH. 145 M2 3.5+1 KİLERLİ FULL YAPILI,2.939.000 TL,weekend3+1,texture155 m2,Ankara - Sincan - Mustafa Kemal Mh.,layers1. Kat
SİNCAN TANDOĞAN MAH 1ARAKAT ÖN CEPHE GENİŞ MASRAFSIZ DAİRE,1.159.000 TL,weekend2+1,texture95 m2,Ankara - Sincan - Tandoğan Mh.,layers1. Kat
 İSTASYON MAHALLESİ 3+1 SIFIR SATILIK DAİRELER ARES GAYRİMENKUL' ...,3.149.999 TL,weekend3+1,texture115 m2,Ankara - Etimesgut - İstasyon Mh.,layersDüz Giriş (Zemin)
 EFSANE'DEN KUŞCAĞIZDA 1.KAT O BİNA DA YAPILI SATILIK DAİRE,2.149.000 TL,weekend2+1,texture130 m2,Ankara - Keçiören - Kuşcağız Mh.,layers1. Kat
