description,price,rooms,area,location,floor
 PLEVNE MAHALLESİNDE FULL YAPILI 3+1 SATILIK DAİRE,1.785.000 TL,weekend3+1,texture135 m2,Ankara - Sincan - Plevne Mh.,layers2. Kat
 AYDINLIKREVLER'DE LÜKS 1 YILLIK 3+1 DUBLEKS DAİRE - TANER EMLAK,5.350.000 TL,weekend3+1,texture138 m2,Ankara - Altındağ - Aydınlıkevler Mh.,layers3. Kat
 GOLD EMLAK'TAN SEVAL CADDESİ YAKIN SİTE İÇİ ÖNÜ AÇIK GENİŞ YAPIL...,3.635.000 TL,weekend3+1,texture160 m2,Ankara - Yenimahalle - Barıştepe Mh.,layers5. Kat
BK GAYRİMENKULDEN YEŞİLOVA MAH. SATILIK ARA KAT DAİRE,2.850.000 TL,weekend3+1,texture140 m2,Ankara - Etimesgut - Yeşilova Mh.,layers2. Kat
SİNCAN PLEVNE MAH ÖN CEPHE YAPILI GENİŞ 8500 TL KİRACILI DAİRE,1.659.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Plevne Mh.,layers1. Kat
ANKARA MAMAK ŞAHİNTEPE MAH ,1.380.000 TL,weekend3+1,texture115 m2,Ankara - Mamak - Şahintepe Mh.,layersDüz Giriş (Zemin)
 BERAT EMLAKTAN TANDOĞAN MAHALLESİNDE 3+1 FULL YAPILI FİYATI UYGU...,1.629.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Tandoğan Mh.,layers3. Kat
 ŞAHİNER'DEN 19 MAYIS MAH 3+1 ÖN CEPHE YAPILI DAİRE,2.650.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - 19 Mayıs Mh.,layers3. Kat
 KUZEY EMLAKTAN MANZARALI TERAS BALKONLU 3+1 SATILIK DAİRE,2.945.000 TL,weekend3+1,texture140 m2,Ankara - Altındağ - Yıldıztepe Mh.,layers2. Kat
TANDOĞAN MAHALLESİ  3+1 SATILIK TERS DUBLEX KAÇIRILMAYACAK FIRSAT,1.250.000 TL,weekend3+1,texture110 m2,Ankara - Sincan - Tandoğan Mh.,layers1. Kat
ANKARA MANZARALI SİTEDE ULTRA LÜX 5+2 DUBLEX DAİRE ,3.500.000 TL,weekend6+1,texture350 m2,Ankara - Çankaya - Mimar Sinan Mh.,layers14. Kat
GOP TURGUTLU SOKAK'TA MANZARALI CEPHELERİ AÇIK KATTA 3+1 DAİRE,5.500.000 TL,weekend3+1,texture165 m2,Ankara - Çankaya - Büyükesat Mh.,layers2. Kat
MAMAK ŞAHİNTEPE SATILIK 3+1 ARAKAT DAİRE,1.750.000 TL,weekend3+1,texture120 m2,Ankara - Mamak - Şahintepe Mh.,layers2. Kat
 KEÇİÖREN ESERTEPE MAH.'NDE 3+1 ASANSÖRLÜ SATILIK DAİRE,1.675.000 TL,weekend3+1,texture110 m2,Ankara - Keçiören - Esertepe Mh.,layersKot 1 (-1). Kat
 ALİBEY'DEN RAGIP TÜZÜN CADDESİ YAKINI 2+1 ORTA KAT ACİL SATILIK ...,1.239.000 TL,weekend2+1,texture89 m2,Ankara - Keçiören - Yayla Mh.,layers2. Kat
 NATA VEGA YAK. DOĞUKENT BULV. SİTEDE SIFIR ULTRA LÜX 3+1 DAİRE,3.650.000 TL,weekend3+1,texture140 m2,Ankara - Mamak - Akşemsettin Mh.,layers2. Kat
YILDIRIM EMLAK’TAN MERKEZİ KONUMDA 3+1 DAİRELER ,2.800.000 TL,weekend3+1,texture130 m2,Ankara - Mamak - Başak Mh.,layers2. Kat
 ETLİK_Merkez'de_L.Hekim_Hast_Karşısı_Full_Yapılı_Masrafsız_125m2,1.729.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - İncirli Mh.,layersYüksek giriş
 MİLLİOĞLU İNŞAAT'TAN ANKARA KARAAĞAÇ'TA SATILIK 2+1 DAİRE,1.450.000 TL,weekend2+1,texture100 m2,Ankara - Mamak - Karaağaç Mh.,layersYüksek giriş
BİR EMLAK'TAN CEVİZLİDERE'DE KAT KONUMUNDA FUL YAPILI3+1 SATILIK,3.000.000 TL,weekend3+1,texture135 m2,Ankara - Çankaya - Cevizlidere Mh.,layersKot 1 (-1). Kat
"KUPON"" ALTAY SOKAK'TA KAT EKSİĞİ OLAN BİNADA 2+1 70 M2 DAİRE",1.550.000 TL,weekend2+1,texture75 m2,Ankara - Çankaya - İleri Mh.,layers2. Kat
KIZILAY GMK BULVAR CADDE CEPHELİ ASANSÖRLÜ HOME&OFİSE UYGUN 3+1,2.400.000 TL,weekend3+1,texture110 m2,Ankara - Çankaya - Kızılay Mh.,layers5. Kat
RÜYA EMLAKTAN ŞEHİTLER METROSUNA YAKIN KATTA BAĞIMSIZ 3+1  DAİRE,2.875.000 TL,weekend3+1,texture120 m2,Ankara - Keçiören - Pınarbaşı Mh.,layers1. Kat
 AKŞEMSETTİN MAH DE ARA KATTA KREDİ LİMİTSİZ ÖN CEPHE 3+1 DAİRE,1.429.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Akşemsettin Mh.,layers3. Kat
" KIRKKONAKLAR'DA CADDE YAKINI, SIFIR, KATTA 2+1 DAİRE",3.600.000 TL,weekend2+1,texture90 m2,Ankara - Çankaya - Kırkkonaklar Mh.,layers3. Kat
İncekte ayrı mutfaklı 2+1 Dubleks fırsatı,3.300.000 TL,weekend2+1,texture120 m2,Ankara - Gölbaşı - İncek Mh.,layersÇatı Dubleks
DENİZ FENERİ PARKI YAKINI CADDEYE YAKIN 2+1 BAHÇE KATI,985.000 TL,weekend2+1,texture95 m2,Ankara - Altındağ - Karapürçek Mh.,layersKot 2 (-2). Kat
YENİMAHALLE RAGIP TÜZÜN CADDESİNE 1 BİNA 6+1 300m2 2 DAİRE KONSEP...,4.150.000 TL,weekend6+1,texture345 m2,Ankara - Yenimahalle - Tepealtı Mh.,layersÇatı Dubleks
ETİMESGUT YEŞİLOVA MAH 3+1 FULL YAPILI ARA KATTA 10 YILLIK BİNA,2.849.000 TL,weekend3+1,texture150 m2,Ankara - Etimesgut - Yeşilova Mh.,layers2. Kat
SİNCAN MARAŞALÇAKMAK MAH 120 M2 GENİŞ ULTRA LÜKS YAPILI DAİRE,1.799.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layers3. Kat
 PINARBAŞI MAH DE ARA KATTA DEPREM PROJELİ ULTRA LÜX YAPILI 3+1 D...,2.350.000 TL,weekend3+1,texture140 m2,Ankara - Sincan - Pınarbaşı Mh.,layers1. Kat
GOP YAKINI YATIRIMLIK İSTEYENLERE KİRA GETİRİLİ GİRİŞ KAT 1+1,1.950.000 TL,weekend1+1,texture50 m2,Ankara - Çankaya - Büyükesat Mh.,layersDüz Giriş (Zemin)
ÇANKAYA LİFE'DEN GOP YAKINI ARA KATLARDA SIFIR SON 3+1 DAİRELER,3.990.000 TL,weekend3+1,texture125 m2,Ankara - Çankaya - Büyükesat Mh.,layers3. Kat
 SÜPER DEGERLİ BİR KONUMDA-HEM YATIRIMLIK HEM OTURUMLUK,3.015.000 TL,weekend3+1,texture120 m2,Ankara - Çankaya - İşçi Blokları Mh.,layers2. Kat
 ERSU DAN ÖVEÇLER KABİL CADDE DE 3+1  ÇİFT BANYOLU- ASANSÖRLÜ-ARA...,4.460.000 TL,weekend3+1,texture145 m2,Ankara - Çankaya - Şehit Cengiz Karaca Mh.,layers2. Kat
 PINARBAŞI MAH DE ULTRA LÜKS YAPILI MERKEZİ KONUMDA 3+1 DAİRE,1.969.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Pınarbaşı Mh.,layers3. Kat
Etlik_Bağcı_Cad._Paraleli_Lüx_Yapıda_Asansörlü_Ş.manzaralı_4.5+2,2.589.000 TL,weekend5+1,texture245 m2,Ankara - Keçiören - Etlik Mh.,layers3. Kat
İLKADIM'DAN TEK BLOKLU SİTE İÇİ ÖN CEPHE TERAS BALKONLU 4+1,3.995.000 TL,weekend4+1,texture180 m2,Ankara - Keçiören - Yükseltepe Mh.,layers6. Kat
İLKADIM'DAN ŞEHİTKUBİLAY'DA ARA KATTA BATI CEPHE İSKANLI 3+1,2.400.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - Şehit Kubilay Mh.,layers2. Kat
BAHÇELİ 1.CADDEDE 1.KAT ÖN 2+1  KOMBİLİ,2.850.000 TL,weekend2+1,texture95 m2,Ankara - Çankaya - Bahçelievler Mh.,layers1. Kat
 TUNA GAYRİMENKUL'DEN SATILIK ŞENTEPE'DE MÜSTAKİL DAİRE,3.300.000 TL,weekend3+1,texture150 m2,Ankara - Polatlı - Şentepe Mh.,layersVilla tipi
"BİR EMLAK'TAN AKPINAR'DA 3+1 SATILIK DA,RE",2.550.000 TL,weekend3+1,texture120 m2,Ankara - Çankaya - Akpınar Mh.,layers1. Kat
 YENİ EVİM GAYRİMENKUL'DEN MÜKEMMEL KONUMDA SİTE İÇİNDE 4+1 SATIL...,2.490.000 TL,weekend4+1,texture175 m2,Ankara - Altındağ - Feridun Çelik Mh.,layers2. Kat
ÇANKAYA AYRANCI HOŞDERE CD PARALEL 2+1 FULL YAPILI SATILIK DAİRE,3.250.000 TL,weekend2+1,texture110 m2,Ankara - Çankaya - Ayrancı Mh.,layers1. Kat
KIZILAY NECATİBEYDE SATILIK OFİS,1.800.000 TL,weekend2+0,texture75 m2,Ankara - Çankaya - Korkutreis Mh.,layers6. Kat
 OSMANGAZİ MAHALLESİNDE FULL YAPILI GİRİŞ KATTA EMSALSİZ DAİRE,1.673.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - Osmangazi Mh.,layersDüz Giriş (Zemin)
 KEÇİÖRENDE FULL YAPILI 3+1 KÖŞEBAŞI FULL YAPILI MASRAFSIZ,1.850.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - Hisar Mh.,layers3. Kat
Yaşam Kule'de FIRSAT net 60 M2 1+1 Güney Cephe Kapalı Otoparklı,3.695.000 TL,weekend1+1,texture70 m2,Ankara - Çankaya - Alacaatlı Mh.,layers18. Kat
 EMPA AYDINLIKEVLER'DEN SUBAY EVLERİ KÖKNAR SOK SATILIK YÜKSEK Gİ...,1.750.000 TL,weekend2+1,texture95 m2,Ankara - Keçiören - Kavacık Subayevleri Mh.,layersYüksek giriş
EMAKS'TAN/CEVİZLİDERE CAD.ÜZERİ/ANKARA MANZARALI/FIRSAT 3+1,2.850.000 TL,weekend3+1,texture105 m2,Ankara - Çankaya - Cevizlidere Mh.,layers3. Kat
MAMAK MUTLU’DA 3+1 2.KATTA ASANSÖRLÜ FULL YAPILI KÖŞEBAŞI ÖNÜ AÇI...,1.790.000 TL,weekend3+1,texture115 m2,Ankara - Mamak - Mutlu Mh.,layers2. Kat
" ANKALİFEDEN""BAGLUM HİSAR MAHALELSİNDE 3+1 ",1.750.000 TL,weekend3+1,texture120 m2,Ankara - Keçiören - Hisar Mh.,layers2. Kat
 ERSU DAN YENİMAHALLE METRO TELEFERİK İLK DURAĞINDA KATTA DUBLEKS...,2.550.000 TL,weekend2+1,texture90 m2,Ankara - Yenimahalle - Esentepe Mh.,layers2. Kat
 ŞAHİNER'DEN TEPEBAŞI MAH 2+1 ÖN CEPHE NORMAL YAPILI DAİRE,1.580.000 TL,weekend2+1,texture110 m2,Ankara - Keçiören - Tepebaşı Mh.,layersYüksek giriş
 SAMSUN YOLUNA CEPHE YATIRIMLIK KENTSEL DÖNÜŞÜME UYGUN 3+1 DAİRE,1.440.000 TL,weekend3+1,texture135 m2,Ankara - Altındağ - Örnek Mh.,layers1. Kat
PUSULADAN PINARBAŞINDA 2+1FULL YAPILI YGİRİŞ ÖN CEPHE 7 YILLIK,1.329.000 TL,weekend2+1,texture105 m2,Ankara - Sincan - Pınarbaşı Mh.,layersYüksek giriş
 ETİMESGUT AYYILDIZ MAH. 3+1 FULL YAPILI S.İÇİ SATILIK DAİRELER,4.399.000 TL,weekend3+1,texture160 m2,Ankara - Etimesgut - Ayyıldız Mh.,layers3. Kat
 ŞAHİNER'DEN TEPEBAŞI MAH 3+1 ARKA CEPHE BAHÇE KATI NORMAL YAPILI...,1.299.000 TL,weekend3+1,texture110 m2,Ankara - Keçiören - Tepebaşı Mh.,layersKot 1 (-1). Kat
IŞIL EMLAKTAN PALMIYE EVLERINDE 3+1 FULL ACIL SATILIK DAIRE,2.650.000 TL,weekend3+1,texture145 m2,Ankara - Yenimahalle - Ata Mh.,layersDüz Giriş (Zemin)
 YUCE EMLAK TAN  SATILIK   3+1  DAİRE,1.450.000 TL,weekend3+1,texture106 m2,Ankara - Çankaya - Bayraktar Mh.,layersKot 1 (-1). Kat
 ETİMESGUT ALSANCAK MAH. YÜKSEK GİRİŞ SATILIK 2+1 DAİRE ,1.449.000 TL,weekend2+1,texture95 m2,Ankara - Etimesgut - Alsancak Mh.,layersYüksek giriş
YCL DEN ZAFERTEPE DE SATILIK 3+1 TERS DUBLEKS,2.200.000 TL,weekend3+1,texture135 m2,Ankara - Çankaya - Mimar Sinan Mh.,layersYüksek giriş
"KEÇİÖRENDE 5+1 İSKANLI0,99 KREDİ İMKANIYLA 0,99 DUBLEKS DAİRE",2.799.000 TL,weekend5+1,texture350 m2,Ankara - Keçiören - Hisar Mh.,layers5. Kat
 YENİMAHALLE IŞINLARDA YENİ BİNADA 3+1 ULTRA LÜX SATILIK DUBLEX,4.230.000 TL,weekend3+1,texture160 m2,Ankara - Yenimahalle - Işınlar Mh.,layers3. Kat
 YUNUS EMRE CAD. DANIŞMENT GÖBEK YAKINI 2+1 KAT KONUMLU BALKONLU,1.200.000 TL,weekend2+1,texture115 m2,Ankara - Keçiören - 19 Mayıs Mh.,layersKot 1 (-1). Kat
SİNCAN PINARBAŞI MAH 3+1 ARA KATTA ÖN CEPHE  BAĞIMSIZ DAİRE,1.919.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Pınarbaşı Mh.,layers2. Kat
 ANKARA İNCİRLİDE BAĞIMSIZ LÜKS YAPILI CADDE ÜZERİ KOMŞUDAN,2.649.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - İncirli Mh.,layers2. Kat
 ꧁꧂EMRE EMLAKTAN꧁꧂PLEVNE'DE FULL+FULL YAPILI ARAKATTA 3+1 SATILIK...,1.859.000 TL,weekend3+1,texture110 m2,Ankara - Sincan - Plevne Mh.,layers2. Kat
 SR EMLAK'TAN SİNCAN SARAYCIK TOKİ' DE 3+1 135m² ARA KATTA ASANSÖ...,2.900.000 TL,weekend3+1,texture140 m2,Ankara - Sincan - Saraycık Mh.,layers1. Kat
" LEVENT'TEN ÇETİNEMEÇ- HAKİMEVİ YAKINI 4+1,130M2 AMERİKAN MUTFAK ...",2.890.000 TL,weekend4+1,texture130 m2,Ankara - Çankaya - Harbiye Mh.,layersKot 2 (-2). Kat
SİNCAN ATATÜRK MAH 4+1  MASRAFSIZ GENİŞ KATTA ÖN CEPHE DAİRE,1.919.000 TL,weekend4+1,texture150 m2,Ankara - Sincan - Atatürk Mh.,layers3. Kat
" LEVENT'TEN DİKMEN VADİSİ - İLKER CADDE YAKINI 3+1,120M2 KATTA ÖN...",3.190.000 TL,weekend3+1,texture120 m2,Ankara - Çankaya - Osman Temiz Mh.,layers2. Kat
" NEXUS'DAN YEŞİLOVA'DA SATILIK 3+1 ASANSÖRLÜ, SIFIR, SÜPER LÜKS D...",2.650.000 TL,weekend3+1,texture110 m2,Ankara - Etimesgut - Yeşilova Mh.,layersYüksek giriş
 MARQA'DAN ETLİK MERKEZİ KONUMDA BAĞIMSIZ ULTRA LÜX YAPILI 3+1 !!,3.450.000 TL,weekend3+1,texture130 m2,Ankara - Keçiören - Etlik Mh.,layers1. Kat
 BAHÇELİEVLERDE MİLLİ KÜTÜPHANEYE YAKIN   2+1 2.KATTA ,2.900.000 TL,weekend2+1,texture100 m2,Ankara - Çankaya - Yukarı Bahçelievler Mh.,layers2. Kat
 ꧁꧂EMRE EMLAKTAN꧁꧂MAREŞALÇAKMAK'TA ANA CADDE ÜZERİ YAPILI 3+1 SAT...,1.700.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layers4. Kat
 Ayvalı Kardeşlerde Katta Tek Daire Yapılı 4+1,3.950.000 TL,weekend4+1,texture200 m2,Ankara - Keçiören - Ayvalı Mh.,layers2. Kat
 NEXUS'DAN AYYILDIZ'DA SATILIK 3+1 DAİRE!,2.575.000 TL,weekend3+1,texture110 m2,Ankara - Etimesgut - Ayyıldız Mh.,layers4. Kat
 SR EMLAKTAN SİNCAN ATATÜRK MAH'DE 2+1 100m² KATTA BAĞIMSIZ ASANS...,1.895.000 TL,weekend2+1,texture110 m2,Ankara - Sincan - Atatürk Mh.,layers4. Kat
 SR EMLAK'TAN SİNCAN ATATÜRK MAH'DE 3+1 120 m² ARA KATTA MANTOLAM...,1.559.000 TL,weekend3+1,texture125 m2,Ankara - Sincan - Atatürk Mh.,layers2. Kat
" LEVENT'TEN PANORA AVM-TRT YAKINI SİTE İÇERİSİNDE 3+1,128M2 ARA K...",3.300.000 TL,weekend3+1,texture128 m2,Ankara - Çankaya - Mürsel Uluç Mh.,layers6. Kat
 ÇANKAYA ALACAATLI'DA MERKEZİ KONUMDA GENİŞ ÖNÜ AÇIK 4+1 FIRSAT D...,6.350.000 TL,weekend4+1,texture210 m2,Ankara - Çankaya - Alacaatlı Mh.,layers5. Kat
 YILMAZ GAYRİMENKULDEN KACIRILMAYACAK 3+1 FIRSAT DAİRESİ         ...,1.299.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Pınarbaşı Mh.,layersBahçe katı
 CİHAN DAN KARAKEÇİLİ CADDESİ OKULLAR BÖLGESİ SIFIR KATTA DAİRE,2.580.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - Şehit Kubilay Mh.,layers3. Kat
 YILMAZ GAYRİMENKULDEN KACIRILMAYACAK 3+1 FIRSAT DAİRESİ         ...,1.848.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Pınarbaşı Mh.,layers2. Kat
POLATLI KARTALTEPE ALIŞVERİŞ VE YAŞAM MERKEZİNDE SATILIK DAİRE,2.249.000 TL,weekend3+1,texture161 m2,Ankara - Polatlı - İstiklal Mh.,layers12. Kat
Ş.G GAYRİMENKUL'DEN ŞEHİTLİK KAŞINDA 4+1 SATILIK DAİRE,2.520.000 TL,weekend4+1,texture180 m2,Ankara - Polatlı - Şehitlik Mh.,layers2. Kat
Ş.G GAYRİMENKUL'DEN ŞEHİTLİK MAH 3+1 SATILIK DAİRE,1.550.000 TL,weekend3+1,texture150 m2,Ankara - Polatlı - Şehitlik Mh.,layers5. Kat
Ş.G GAYRİMENKUL'DEN ŞEHİTLİK MAH 3+1 SATILIK DAİRE,1.550.000 TL,weekend3+1,texture150 m2,Ankara - Polatlı - Şehitlik Mh.,layers5. Kat
MEV ANKARA'DAN ALTIAĞAÇ TOKİ'DE 2+1 DAİRE,1.150.000 TL,weekend2+1,texture80 m2,Ankara - Mamak - Altıağaç Mh.,layersBahçe katı
 YILMAZ GAYRİMENKULDEN KACIRILMAYACAK 3+1 FIRSAT DAİRESİ         ...,1.548.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Malazgirt Mh.,layers3. Kat
GOLD TAN YOZGAT BUL KENARI SİTE İÇİ TAKASA UYGUN ACİL 4+1 DAİRE_,5.500.000 TL,weekend4+1,texture215 m2,Ankara - Keçiören - Ovacık Mh.,layers6. Kat
ETLİK BAĞCI CAD ÜZERİ BAĞIMSIZ GENİŞ UYGUN FİYATA ACİL 3+1 DAİRE,1.545.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - Etlik Mh.,layersDüz Giriş (Zemin)
▆▇█▓ZİRVE▓█▇▆1080 CADDE ÜZERİ ORMAN MANZARALI FUL+FUL 3+1 DAİRE,2.279.000 TL,weekend3+1,texture135 m2,Ankara - Mamak - Akşemsettin Mh.,layers3. Kat
▆▇█▓ZİRVE▓█▇▆YILIN FIRSATI DOĞUKENT CAD YANI G.BATI 3+1MASRAFSIZ,2.049.000 TL,weekend3+1,texture135 m2,Ankara - Mamak - Akşemsettin Mh.,layers3. Kat
▆▇█▓ZİRVE▓█▇▆FIRSATT AKŞEMSETTİN MAH ARA KAT MASRAFSIZ 2+1 DAİRE,1.571.000 TL,weekend2+1,texture115 m2,Ankara - Mamak - Akşemsettin Mh.,layers1. Kat
ANKARA EMLAK'TAN AŞIKPAŞA'DA SABAH SOKAKTA SATILIK DAİRE,2.200.000 TL,weekend2+1,texture85 m2,Ankara - Çankaya - Aşıkpaşa Mh.,layersYüksek giriş
ÇINAR'DAN MUSTAFA KEMAL MAHALLESİNDE UYGUN SIFIR DAİRE,2.900.000 TL,weekend3+1,texture145 m2,Ankara - Sincan - Mustafa Kemal Mh.,layers4. Kat
ÇINAR'DAN MUSTAFA KEMAL MAHALLESİNDE UYGUN SIFIR DAİRE,2.690.000 TL,weekend3+1,texture137 m2,Ankara - Sincan - Mustafa Kemal Mh.,layers1. Kat
BARUT EMLAK'tan HASTANE YAKINI TERAS BALKONLU 4+1 SİTE DAİRESİ,3.750.000 TL,weekend4+1,texture190 m2,Ankara - Pursaklar - Mimar Sinan Mh.,layers1. Kat
BARUT'tan KAPALI OTOPARKLI LÜKS DİZAYN ULTRA LÜKS SİTE DAİRESİ,3.990.000 TL,weekend4+1,texture200 m2,Ankara - Pursaklar - Mimar Sinan Mh.,layers1. Kat
BARUT'TAN LÜKS DİZAYN E. BANYOLU ASANSÖR 4+1 SIFIR ARA KAT DAİRE,3.750.000 TL,weekend4+1,texture150 m2,Ankara - Pursaklar - Fatih Mh.,layers2. Kat
ALTINDAĞ FERİDUNÇELİK MAH 4 CADDE 4CÜ KAT YAKINI YAPILI SIFIR SAT...,2.300.000 TL,weekend3+1,texture145 m2,Ankara - Altındağ - Feridun Çelik Mh.,layers4. Kat
ÇOK ACİL'DE HİSAR MH KATTA ASANSÖRLÜ FULL+FULL YAPILI ARAKAT 3+1,2.199.000 TL,weekend3+1,texture125 m2,Ankara - Keçiören - Hisar Mh.,layers2. Kat
KABİL CD 3+1 BAĞIMSIZ YALITIMLI İYİ PARTİ YANI OFİSE KONUTA,2.980.000 TL,weekend3+1,texture135 m2,Ankara - Çankaya - Aşağı Öveçler Mh.,layers3. Kat
ÖVEÇLER 1059 CD 3+1 BALKONLU KOT 1,2.100.000 TL,weekend3+1,texture130 m2,Ankara - Çankaya - Şehit Cevdet Özdemir Mh.,layersKot 1 (-1). Kat
KEKLİKPINAR'DA ŞEHİR MANZARALI TERASLI 3+1 SATILIK DAİRE,3.000.000 TL,weekend3+1,texture115 m2,Ankara - Çankaya - Keklik Pınarı Mh.,layers3. Kat
ETİMESGUT İSTASYON CAD. ÜZERİ MANZARALI 2+1 SATILIK SIFIR DAİRE,3.400.000 TL,weekend2+1,texture91 m2,Ankara - Etimesgut - İstasyon Mh.,layers2. Kat
ELİTTEN 4+1 ÜMİTKÖY GORDİON METROYANI BÖLGENİN EN BÜYÜK DAİRESİ,9.400.000 TL,weekend4+1,texture250 m2,Ankara - Çankaya - Ümit Mh.,layers9. Kat
"MUSTAFA KEMAL MAHALLESİ , SATILIK LÜKS 3+1 DAİRE",2.750.000 TL,weekend3+1,texture150 m2,Ankara - Sincan - Mustafa Kemal Mh.,layers2. Kat
"FEVZİ ÇAKMAK MAHALLESİNDE ,SİTE İÇESİNDE EŞYALI LÜKS 4+1 DAİRE",3.950.000 TL,weekend4+1,texture178 m2,Ankara - Sincan - Fevzi Çakmak Mh.,layers5. Kat
AHİMESUD'DA_4+1_SÜPER_LÜX_K.OTOPARKLI_KİLERLİ_ÇİFT_ASANSÖRLÜ,5.999.000 TL,weekend4+1,texture170 m2,Ankara - Etimesgut - Ahi Mesut Mh.,layers7. Kat
HİLAL'DEN KARAPÜRÇEKTE 3+1 CADDE ÜZERİNDE ÖN CEPHE DAİRE,1.735.000 TL,weekend3+1,texture135 m2,Ankara - Altındağ - Karapürçek Mh.,layers1. Kat
HİLAL'DEN KARAPÜRÇEKTE 3+1 ÖN CEPHE MASRAFSIZ DAİRE,2.000.000 TL,weekend3+1,texture135 m2,Ankara - Altındağ - Karapürçek Mh.,layers3. Kat
ÖYKÜMDEN BAĞLUMDA TAMAMINA KREDİLİ 3+1 SÜPER LÜX SIFIR DAİRE!!!!,2.385.000 TL,weekend3+1,texture140 m2,Ankara - Keçiören - Kafkas Mh.,layers4. Kat
ÖYKÜMDEN BADEMLİKTE KATTA FULL YAPILI 3+1 BALKONLU MASRAFSIZ!!!,2.390.000 TL,weekend3+1,texture125 m2,Ankara - Keçiören - Bademlik Mh.,layers1. Kat
 RÜYA EMLAKTAN YEŞİLTEPE MH 2+1 DAİRE ,1.188.000 TL,weekend2+1,texture90 m2,Ankara - Keçiören - Yeşiltepe Mh.,layersKot 1 (-1). Kat
RÜYA EMLAKTAN BAĞLAR BAŞI MH GİRİŞ KATTA 2+1 DAİRE ,1.190.000 TL,weekend2+1,texture95 m2,Ankara - Keçiören - Bağlarbaşı Mh.,layersDüz Giriş (Zemin)
 MARQA'DAN ETLİK MERKEZİ KONUMDA BAĞIMSIZ ULTRA LÜX YAPILI 3+1 !!,3.450.000 TL,weekend3+1,texture130 m2,Ankara - Keçiören - Etlik Mh.,layers1. Kat
 ATAPARK MAHALLESİNDE KAÇIRILMAYACAK FIRSATTA ARA KAT GENİŞ 3+1 D...,2.749.000 TL,weekend3+1,texture145 m2,Ankara - Keçiören - Atapark Mh.,layers2. Kat
 BAHÇELİEVLERDE MİLLİ KÜTÜPHANEYE YAKIN   2+1 2.KATTA ,2.900.000 TL,weekend2+1,texture100 m2,Ankara - Çankaya - Yukarı Bahçelievler Mh.,layers2. Kat
 ꧁꧂EMRE EMLAKTAN꧁꧂MAREŞALÇAKMAK'TA ANA CADDE ÜZERİ YAPILI 3+1 SAT...,1.700.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Mareşal Çakmak Mh.,layers4. Kat
 Ayvalı Kardeşlerde Katta Tek Daire Yapılı 4+1,3.950.000 TL,weekend4+1,texture200 m2,Ankara - Keçiören - Ayvalı Mh.,layers2. Kat
 NEXUS'DAN AYYILDIZ'DA SATILIK 3+1 DAİRE!,2.575.000 TL,weekend3+1,texture110 m2,Ankara - Etimesgut - Ayyıldız Mh.,layers4. Kat
 ÇANKAYA ALACAATLI'DA MERKEZİ KONUMDA GENİŞ ÖNÜ AÇIK 4+1 FIRSAT D...,6.350.000 TL,weekend4+1,texture210 m2,Ankara - Çankaya - Alacaatlı Mh.,layers5. Kat
 YILMAZ GAYRİMENKULDEN KACIRILMAYACAK 3+1 FIRSAT DAİRESİ         ...,1.299.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Pınarbaşı Mh.,layersBahçe katı
 CİHAN DAN KARAKEÇİLİ CADDESİ OKULLAR BÖLGESİ SIFIR KATTA DAİRE,2.580.000 TL,weekend3+1,texture135 m2,Ankara - Keçiören - Şehit Kubilay Mh.,layers3. Kat
 YILMAZ GAYRİMENKULDEN KACIRILMAYACAK 3+1 FIRSAT DAİRESİ         ...,1.848.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Pınarbaşı Mh.,layers2. Kat
POLATLI KARTALTEPE ALIŞVERİŞ VE YAŞAM MERKEZİNDE SATILIK DAİRE,2.249.000 TL,weekend3+1,texture161 m2,Ankara - Polatlı - İstiklal Mh.,layers12. Kat
Ş.G GAYRİMENKUL'DEN ŞEHİTLİK KAŞINDA 4+1 SATILIK DAİRE,2.520.000 TL,weekend4+1,texture180 m2,Ankara - Polatlı - Şehitlik Mh.,layers2. Kat
Ş.G GAYRİMENKUL'DEN ŞEHİTLİK MAH 3+1 SATILIK DAİRE,1.550.000 TL,weekend3+1,texture150 m2,Ankara - Polatlı - Şehitlik Mh.,layers5. Kat
